id,event_id,pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
61,5538390b215e0ffc395f3838a444750d,Ben Lively,3.5,107,-143,pinnacle,00:00.0,5/12/2025,5.53,4.08,15%,-22%
62,fcaf1a98eaa1dfdb67925ba0fb430e39,Jackson Jobe,3.5,-161,121,pinnacle,00:00.0,5/12/2025,4.89,3.54,-11%,4%
63,fcaf1a98eaa1dfdb67925ba0fb430e39,Tanner Houck,4.5,-134,101,pinnacle,00:00.0,5/12/2025,4.97,4.29,-12%,5%
64,3a2d32190a6635fb6133f4ac0c4431ca,Matthew Liberatore,4.5,-145,109,pinnacle,00:00.0,5/12/2025,5.67,5.31,9%,-16%
65,3a2d32190a6635fb6133f4ac0c4431ca,Cristopher Sanchez,5.5,100,-133,pinnacle,00:00.0,5/12/2025,5.37,4.37,-24%,17%
66,aed9ff24ad5bd78729995b07a0d40c51,David Peterson,5.5,-127,-104,pinnacle,00:00.0,5/12/2025,5.27,5.48,-6%,-1%
67,aed9ff24ad5bd78729995b07a0d40c51,Paul Skenes,6.5,-103,-128,pinnacle,00:00.0,5/12/2025,6.53,9.53,45%,-52%
68,c2d4becd5ffe5ef613f705f415ab8eff,Jake Irvin,3.5,-146,110,pinnacle,00:00.0,5/12/2025,5.82,4.87,19%,-26%
69,c2d4becd5ffe5ef613f705f415ab8eff,Grant Holmes,4.5,-164,123,pinnacle,00:00.0,5/12/2025,5.97,5.32,6%,-13%
70,a757bfa1d14a002837ab676b718e558f,Colin Rea,4.5,-151,113,pinnacle,00:00.0,5/12/2025,5.8,5.07,3%,-10%
71,a757bfa1d14a002837ab676b718e558f,Cal Quantrill,3.5,105,-140,pinnacle,00:00.0,5/12/2025,4.63,3.29,-4%,-4%
72,73d56a8b7bd9773337d70b76008a2ab5,Tyler Mahle,5.5,-160,120,pinnacle,00:00.0,5/12/2025,5.29,6.26,5%,-12%
73,73d56a8b7bd9773337d70b76008a2ab5,Chase Dollander,4.5,-102,-130,pinnacle,00:00.0,5/12/2025,4.51,4,-12%,5%
74,fcd7b00613c507b9ed9c6a9dd66398fe,Ryan Gusto,4.5,150,-208,pinnacle,00:00.0,5/12/2025,5.13,3.75,-7%,-1%
75,fcd7b00613c507b9ed9c6a9dd66398fe,Michael Wacha,4.5,-103,-128,pinnacle,00:00.0,5/12/2025,5.77,5.12,13%,-20%
76,855e1414b1f53fc2ff685b69b4cb3cf7,Yusei Kikuchi,4.5,-121,-109,pinnacle,00:00.0,5/12/2025,5.29,5.49,17%,-24%
77,855e1414b1f53fc2ff685b69b4cb3cf7,Michael King,6.5,-177,132,pinnacle,00:00.0,5/12/2025,5.52,7.32,4%,-11%
78,3577b98139f8f8cf0dfb09ecaee645a8,Clarke Schmidt,5.5,-123,-107,pinnacle,00:00.0,5/12/2025,5.09,5.02,-16%,9%
79,3577b98139f8f8cf0dfb09ecaee645a8,Emerson Hancock,3.5,-170,127,pinnacle,00:00.0,5/12/2025,4.6,3.08,-22%,15%
80,51a813cc7e7bc9f2c9ab965a20c72d51,Justin Verlander,4.5,-113,-117,pinnacle,00:00.0,5/12/2025,5.28,4.04,-13%,6%
